varCode,VarName
vcf0004,Year
vcf0006a,UniqueCase
vcf0019,HeadOfHouse
vcf0050a,ObsInfoLvlPre
vcf0050b,ObsInfoLvlPost
vcf0101,Age
vcf0102,AgeGroup
vcf0103,Cohort
vcf0104,Gender
vcf0110,Education
vcf0111,Urbanism
vcf0112,CensusRegion
vcf0113,SouthNonSouth
vcf0114,IncomeGroup
vcf0115,Occupation
vcf0116,WorkStatus
vcf0126,FatherOccup
vcf0127,UnionMember
vcf0128,Religion
vcf0130,ChurchAttendance70
vcf0131,ChurchAttendance5268
vcf0135,GrewUpLargeCity
vcf0138,NumChildren
vcf0140,Education6
vcf0143,NativeParents
vcf0146,FamilyHomeOwner
vcf0147,MaritalStatus
vcf0148,SocialClass
vcf0155,JobWorry
vcf0201,DemTherm
vcf0202,RepTherm
vcf0202,PeopleWelfareTherm
vcf0211,LiberalsTherm
vcf0212,ConservativesTherm
vcf0221,PolIndesTherm
vcf0222,PoliticalPartiesTherm
vcf0231,FedGovTherm
vcf0291,MajorPartyTherm
vcf0301,Partisan7
vcf0303,Partisan3
vcf0305,PartyIdent7
vcf0305,PartisanLean
vcf0310,PoliticalInterest
vcf0311,CarePartyPres
vcf0312,CarePartyCong
vcf0313,InterestPublicAffaris
vcf0342,PresidentKnowledgable
vcf0343,PresidentMoral
vcf0344,PresidentStrongLeader
vcf0345,PresidentCares
vcf0346,PresidentAffectAngry
vcf0347,PresidentAffectAfraid
vcf0348,PresidentAffectHopeful
vcf0349,PresidentAffectProud
vcf0428,USPresTherm
vcf0450,PresPerfApprove
vcf0501,DiffTweenParties
vcf0521,StrongerGovtParty
vcf0522,AvoidWarParty
vcf0604,TrustFedGov
vcf0605,FedGovInterests
vcf0606,FedGovWasteTaxes
vcf0608,GovtCrookedOffic
vcf0609,GovtCareYouThink
vcf0613,HaveSayInGovt
vcf0614,PolGovComplicated
vcf0615,VoteMatters
vcf0616,VoteIfNotCare
vcf0617,VoteIfPartyCantWin
vcf0618,LocalElectionsMatter
vcf0619,TrustPeople
vcf0620,PeopleHelpful
vcf0621,PeopleFair
vcf0622,GovtListensYou
vcf0623,UsConcernWorld
vcf0624,ElectionGovListenYou
vcf0700,PartyElectedPresNov
vcf0702,VoteNationalElections
vcf0704,PresVoteParty
vcf0710,NationalTicketSplit
vcf0711,AlwaysVoteSameParty
vcf0712,DecisionTime
vcf0713,PrePresIntent
vcf0714,PresElectionClose
vcf0715,LocalTicketSplit
vcf0716,LocalTicketSplit2
vcf0717,InfluenceOthers
vcf0723,NumParticActs6
vcf0728,NumMediaTypes
vcf0729,HouseMajorityParty
vcf0733,NumDiscussPolitics
vcf0734,PresIntendActual
vcf0737,Registered
vcf0803,LibConScale
vcf0809,GuarJobsIncome
vcf0814,CivilRightsSpeed
vcf0823,BetterOffUSIsolated
vcf0830,AidToBlacksScale
vcf0834,WomenEqualRole
vcf0838,WhenAbortionAllow
vcf0839,GovServicesSpending
vcf0843,DefenseSpending
vcf0846,ReligionImportant
vcf0847,ReligiousGuidance
vcf0851,LifestyleSocietyBreak
vcf0853,EmphasisTradMoreValues
vcf0870,EconomyBetterWorse
vcf0876,LawGays
vcf0880,BetterOrWorseOff
vcf0890,FedSpendSchool
vcf9001,LengthCommunity
vcf9014,EqualRights
vcf9022,PresPrefStrength
